land,pop,party,votes,direct,seats.mr
Schleswig-Holstein,2659792,CDU,389588,6,8
Schleswig-Holstein,2659792,SPD,487012,5,9
Schleswig-Holstein,2659792,Gruene,394052,0,8
Schleswig-Holstein,2659792,Linke,80974,0,2
Schleswig-Holstein,2659792,FDP,221930,0,4
Schleswig-Holstein,2659792,AfD,122180,0,2
Hamburg,1537766,CDU,177921,0,3
Hamburg,1537766,SPD,280211,6,6
Hamburg,1537766,Gruene,261532,0,5
Hamburg,1537766,Linke,77336,0,2
Hamburg,1537766,FDP,108087,0,2
Hamburg,1537766,AfD,66600,0,1
Niedersachsen,7207587,CDU,1084636,8,21
Niedersachsen,7207587,SPD,1554484,22,30
Niedersachsen,7207587,Gruene,776374,0,15
Niedersachsen,7207587,Linke,209764,0,4
Niedersachsen,7207587,FDP,441523,0,9
Niedersachsen,7207587,AfD,367652,0,7
Bremen,548941,CDU,55725,0,1
Bremen,548941,SPD,108426,2,2
Bremen,548941,Gruene,70447,0,1
Bremen,548941,Linke,28985,0,1
Bremen,548941,FDP,31784,0,1
Bremen,548941,AfD,28938,0,1
Nordrhein-Westfalen,15415642,CDU,2147259,24,41
Nordrhein-Westfalen,15415642,SPD,3118149,40,60
Nordrhein-Westfalen,15415642,Gruene,1428704,0,28
Nordrhein-Westfalen,15415642,Linke,478594,0,9
Nordrhein-Westfalen,15415642,FDP,1323379,0,26
Nordrhein-Westfalen,15415642,AfD,808163,0,16
Hessen,5222158,CDU,690274,4,13
Hessen,5222158,SPD,961123,18,18
Hessen,5222158,Gruene,620861,0,12
Hessen,5222158,Linke,176108,0,3
Hessen,5222158,FDP,395812,0,8
Hessen,5222158,AfD,347066,0,7
Rheinland-Pfalz,3610865,CDU,566545,9,11
Rheinland-Pfalz,3610865,SPD,695483,6,13
Rheinland-Pfalz,3610865,Gruene,343733,0,7
Rheinland-Pfalz,3610865,Linke,104507,0,2
Rheinland-Pfalz,3610865,FDP,250987,0,5
Rheinland-Pfalz,3610865,AfD,231273,0,5
Baden-Württemberg,9313413,CDU,1377398,30,30
Baden-Württemberg,9313413,SPD,1197547,2,23
Baden-Württemberg,9313413,Gruene,1548058,6,31
Baden-Württemberg,9313413,Linke,247269,0,5
Baden-Württemberg,9313413,FDP,779880,0,15
Baden-Württemberg,9313413,AfD,635875,0,12
Bayern,11328866,CSU,1917218,41,41
Bayern,11328866,SPD,1378648,4,26
Bayern,11328866,Gruene,1384874,1,27
Bayern,11328866,Linke,292781,0,6
Bayern,11328866,FDP,768867,0,15
Bayern,11328866,AfD,797609,0,16
Saarland,865191,CDU,126652,0,2
Saarland,865191,SPD,193699,4,4
Saarland,865191,Gruene,0,0,0
Saarland,865191,Linke,49001,0,1
Saarland,865191,FDP,45520,0,1
Saarland,865191,AfD,51288,0,1
Berlin,2942960,CDU,283486,0,5
Berlin,2942960,SPD,407467,7,8
Berlin,2942960,Gruene,450581,1,9
Berlin,2942960,Linke,228073,4,4
Berlin,2942960,FDP,170964,0,3
Berlin,2942960,AfD,196003,0,4
Brandenburg,2397701,CDU,265793,0,5
Brandenburg,2397701,SPD,319171,10,10
Brandenburg,2397701,Gruene,143779,0,3
Brandenburg,2397701,Linke,166082,0,3
Brandenburg,2397701,FDP,107959,0,2
Brandenburg,2397701,AfD,262100,0,5
Mecklenburg-Vorpommern,1532412,CDU,205280,2,4
Mecklenburg-Vorpommern,1532412,SPD,170286,3,3
Mecklenburg-Vorpommern,1532412,Gruene,75780,0,1
Mecklenburg-Vorpommern,1532412,Linke,107401,0,2
Mecklenburg-Vorpommern,1532412,FDP,59253,0,1
Mecklenburg-Vorpommern,1532412,AfD,150076,1,3
Sachsen,3826905,CDU,444783,6,9
Sachsen,3826905,SPD,318297,0,6
Sachsen,3826905,Gruene,217877,0,4
Sachsen,3826905,Linke,258895,1,5
Sachsen,3826905,FDP,208439,0,4
Sachsen,3826905,AfD,583161,9,11
Sachsen-Anhalt,2056177,CDU,252146,2,5
Sachsen-Anhalt,2056177,SPD,230374,5,5
Sachsen-Anhalt,2056177,Gruene,88685,0,2
Sachsen-Anhalt,2056177,Linke,143440,0,3
Sachsen-Anhalt,2056177,FDP,98820,0,2
Sachsen-Anhalt,2056177,AfD,212743,2,4
Thüringen,1996822,CDU,248703,2,5
Thüringen,1996822,SPD,208495,4,4
Thüringen,1996822,Gruene,102295,0,2
Thüringen,1996822,Linke,141721,0,3
Thüringen,1996822,FDP,103501,0,2
Thüringen,1996822,AfD,255977,2,5
